"Date","Price","Open","High","Low","Change %"
"Aug 27, 2017","63.980","63.890","64.125","63.855","-0.04"
"Aug 20, 2017","64.005","64.075","64.157","64.005","-0.14"
"Aug 13, 2017","64.095","63.985","64.328","63.935","-0.07"
"Aug 06, 2017","64.140","63.715","64.270","63.620","0.73"
"Jul 30, 2017","63.675","64.161","64.294","63.611","-0.69"
"Jul 23, 2017","64.115","64.415","64.465","64.065","-0.42"
"Jul 16, 2017","64.385","64.355","64.460","64.245","-0.06"
"Jul 09, 2017","64.424","64.608","64.638","64.424","-0.31"
"Jul 02, 2017","64.625","64.675","64.930","64.540","0.01"
"Jun 25, 2017","64.620","64.465","64.840","64.405","0.18"
"Jun 18, 2017","64.505","64.445","64.700","64.340","0.06"
"Jun 11, 2017","64.465","64.355","64.750","64.245","0.34"
"Jun 04, 2017","64.245","64.320","64.515","64.167","-0.26"
"May 28, 2017","64.415","64.495","64.707","64.345","-0.15"
"May 21, 2017","64.510","64.505","64.955","64.425","-0.09"
"May 14, 2017","64.565","64.110","65.025","63.985","0.50"
"May 07, 2017","64.243","64.245","64.700","64.195","-0.11"
"Apr 30, 2017","64.315","64.285","64.395","64.115","0.04"
"Apr 23, 2017","64.290","64.553","64.558","63.940","-0.56"
"Apr 16, 2017","64.650","64.440","64.738","64.305","0.26"
"Apr 09, 2017","64.480","64.320","64.745","64.278","0.33"
"Apr 02, 2017","64.270","64.804","65.174","64.154","-0.91"
"Mar 26, 2017","64.860","65.280","65.280","64.800","-0.86"
"Mar 19, 2017","65.425","65.425","65.590","65.225","-0.08"
"Mar 12, 2017","65.475","66.155","66.265","65.255","-1.62"
"Mar 05, 2017","66.555","66.800","66.880","66.555","-0.34"
"Feb 26, 2017","66.780","66.740","66.920","66.650","0.20"
"Feb 19, 2017","66.645","67.085","67.085","66.615","-0.65"
"Feb 12, 2017","67.080","66.920","67.167","66.800","0.34"
"Feb 05, 2017","66.854","67.241","67.486","66.741","-0.49"
"Jan 29, 2017","67.184","68.105","68.119","67.184","-1.35"
"Jan 22, 2017","68.105","68.096","68.255","67.980","0.04"
"Jan 15, 2017","68.075","68.183","68.335","67.870","-0.15"
"Jan 08, 2017","68.180","68.126","68.511","67.960","0.10"
"Jan 01, 2017","68.115","67.970","68.455","67.745","0.24"
"Dec 25, 2016","67.955","67.841","68.261","67.705","0.17"
"Dec 18, 2016","67.837","67.850","68.111","67.708","-0.03"
"Dec 11, 2016","67.855","67.471","67.950","67.370","0.57"
"Dec 04, 2016","67.470","68.026","68.280","67.318","-0.82"
"Nov 27, 2016","68.031","68.519","68.810","68.010","-0.71"
"Nov 20, 2016","68.519","68.185","68.881","68.020","0.48"
"Nov 13, 2016","68.191","67.520","68.250","67.460","0.93"
"Nov 06, 2016","67.565","66.820","67.565","66.252","1.15"
"Oct 30, 2016","66.796","66.779","66.870","66.630","0.03"
"Oct 23, 2016","66.778","66.919","66.960","66.691","-0.22"
"Oct 16, 2016","66.926","66.718","67.005","66.610","0.31"
"Oct 09, 2016","66.717","66.602","66.990","66.473","0.17"
"Oct 02, 2016","66.602","66.556","66.890","66.373","0.07"
"Sep 25, 2016","66.556","66.707","66.955","66.327","-0.23"
"Sep 18, 2016","66.707","67.076","67.145","66.530","-0.55"
"Sep 11, 2016","67.075","66.850","67.148","66.727","0.27"
"Sep 04, 2016","66.895","66.625","66.895","66.275","0.15"
"Aug 28, 2016","66.795","67.169","67.247","66.617","-0.51"
"Aug 21, 2016","67.136","67.139","67.370","66.831","-0.00"
"Aug 14, 2016","67.137","66.910","67.205","66.688","0.34"
"Aug 07, 2016","66.908","66.840","66.985","66.600","0.10"
"Jul 31, 2016","66.842","66.720","67.015","66.570","0.28"
"Jul 24, 2016","66.655","67.165","67.495","66.625","-0.74"
"Jul 17, 2016","67.154","67.096","67.273","67.012","0.02"
"Jul 10, 2016","67.141","67.139","67.308","66.802","0.00"
"Jul 03, 2016","67.139","67.190","67.555","67.070","-0.08"
"Jun 26, 2016","67.190","67.888","68.090","67.150","-1.02"
"Jun 19, 2016","67.885","67.074","68.223","67.073","1.21"
"Jun 12, 2016","67.074","66.960","67.454","66.900","0.18"
"Jun 05, 2016","66.952","66.887","67.055","66.451","-0.07"
